id	priority	details	status	deadline	completed	project
0	1	details1	active	3/1/2020	1	project1
1	1	details2	canceled	3/1/2020	1	project4
2	1	details3	active	2/28/2020	1	project7
3	1	details4	done	2/6/2020	1	project3
4	1	details5	notstarted	4/20/2020	1	project3
5	1	details6	active	3/6/2020	1	project7
6	1	details7	notstarted	3/10/2020	1	project11
7	1	details8	notstarted	4/1/2020	1	project12
8	1	details9	notstarted	3/20/2020	1	project11
9	1	details10	notstarted	4/3/2020	1	project11
10	1	details11	notstarted	4/1/2020	1	project15
11	1	details12	active	2/11/2020	1	project2
12	1	details13	active	2/14/2020	1	project2
13	1	details14	notstarted	4/18/2020	1	project2
14	1	details15	done	2/5/2020	1	project10
15	1	details16	notstarted	4/1/2020	1	project19
16	1	details17	notstarted	4/1/2020	1	project18
17	1	details18	notstarted	4/1/2020	1	project17
18	1	details19	notstarted	4/20/2020	1	project2
19	1	details20	notstarted	4/1/2020	1	project19
20	1	details21	notstarted	4/1/2020	1	project12
21	1	details22	notstarted	4/22/2020	1	project2
22	1	details23	notstarted	4/1/2020	1	project13
23	1	details24	notstarted	4/1/2020	1	project13
24	1	details25	notstarted	4/1/2020	1	project16
25	1	details26	notstarted	4/1/2020	1	project17
26	1	details27	notstarted	3/27/2020	1	project7
27	1	details28	notstarted	4/3/2020	1	project7
28	1	details29	notstarted	4/17/2020	1	project7
29	1	details30	notstarted	4/1/2020	1	project17
30	1	details31	notstarted	2/14/2020	1	project10
31	1	details32	notstarted	2/28/2020	1	project10
32	1	details33	notstarted	3/6/2020	1	project10
33	1	details34	notstarted	4/1/2020	1	project15
34	1	details35	notstarted	4/1/2020	1	project15
35	1	details36	notstarted	4/1/2020	1	project20
36	1	details37	notstarted	4/17/2020	1	project11
37	1	details38	notstarted	4/24/2020	1	project11
38	1	details39	notstarted	5/1/2020	1	project11
39	1	details40	notstarted	5/15/2020	1	project11
40	1	details41	canceled	3/13/2020	1	project11
41	1	details42	active	3/1/2020	1	project10
